family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F4_Spectral,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.587292271106415,0.03953868811891892,-0.19016829387486567,0.006196437686844469
F4_Spectral,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.4161400120817417,0.1847792095362004,0.1900278093349863,0.022670330853128265
F4_Spectral,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.5753323822034793,0.06255449758261944,0.04528483258907845,0.010701401725394882
F4_Spectral,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.6089161338682366,0.006277651978324639,-0.09966940337152508,0.002146161482173975
F4_Spectral,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.6118085984651452,-0.0034214314130520673,-0.255359473183036,-0.0005641135587739071
F4_Spectral,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.660661082105651,0.018633169201037747,-0.24133285863271414,0.004981030639515535
F4_Spectral,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.651623509505355,-0.025841386277849487,-0.41290375734212637,-0.006285712526224632
F4_Spectral,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.6915536937572667,0.050758473089703715,-0.31094849042993133,0.004230794285857889
F4_Spectral,force,feature_bank_force_audited_validation_20260915,Hard,0.5521747810843225,0.5614505425202452,0.00927576143592268,-0.23296508954338258,0.0016577619294877444
F4_Spectral,force,feature_bank_force_audited_validation_20260915,Light,0.4222907429935671,0.5692238874448651,0.14693314445129796,-0.45633765348502275,0.013957466247090114
F4_Spectral,force,feature_bank_force_audited_validation_20260915,MVC,0.4378894770504586,0.45766110530045995,0.01977162825000134,0.5409685751873128,0.015967494623267423
F4_Spectral,force,feature_bank_force_audited_validation_20260915,Medium,0.5017347699032976,0.524983008383881,0.02324823848058344,-0.49304728921607643,0.003583727322583302
F5_Temporal,force,feature_bank_force_audited_validation_20260915,ALL,0.5477535829874961,0.5458516930920548,-0.0019018898954412666,-0.2928938277741078,-0.001795557581035459
F5_Temporal,force,feature_bank_force_audited_validation_20260915,20P,0.23136080254554128,0.2228860450553156,-0.008474757490225693,-0.3535382888102867,-0.010741821369088855
F5_Temporal,force,feature_bank_force_audited_validation_20260915,30P,0.5127778846208598,0.4557421889198955,-0.05703569570096434,-0.26195225196358685,-0.011635387646056941
F5_Temporal,force,feature_bank_force_audited_validation_20260915,40P,0.602638481889912,0.5834792603815125,-0.019159221508399438,-0.12510586026795845,-0.003634149109224924
F5_Temporal,force,feature_bank_force_audited_validation_20260915,50P,0.6152300298781973,0.6351053352744004,0.01987530539620308,-0.2876497762577852,-0.0020193742224512146
F5_Temporal,force,feature_bank_force_audited_validation_20260915,60P,0.6420279129046133,0.6370606178419337,-0.0049672950626795664,-0.3569325270416013,-0.0007305872722056655
F5_Temporal,force,feature_bank_force_audited_validation_20260915,70P,0.6774648957832045,0.7003168748511998,0.0228519790679953,-0.2580524494005425,0.00489301320638242
F5_Temporal,force,feature_bank_force_audited_validation_20260915,80P,0.640795220667563,0.656869782104304,0.01607456143674102,-0.3737765658112948,0.0022275744755808347
