dataset,phase,subject,condition,family,feature_dimension,active_native_labels_json,rest_label_excluded,D_nuisance_active,D_gesture_active,J_active,macro_f1_active6,accuracy_active,log_loss_active_truth_7way_probability,active_trials,rest_trials_excluded
libemg_contraction_intensity,validation,7,Medium,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.1379928588867188,3.3834869861602783,2.9732058153448975,0.33174603174603173,0.375,2.0089758953829135,24,4
libemg_contraction_intensity,validation,7,Hard,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.1468167304992676,3.7092225551605225,3.2343638318062147,0.35555555555555557,0.3333333333333333,2.21733141974747,24,4
libemg_contraction_intensity,validation,8,ALL,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.662430763244629,4.814267180182717,2.8959204114443464,0.6486689785157473,0.6547619047619048,0.9830093517020246,252,42
libemg_contraction_intensity,validation,8,20P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,2.45115065574646,3.3276894092559814,1.3576029695762724,0.18094405594405594,0.20833333333333334,2.4399973063384937,24,4
libemg_contraction_intensity,validation,8,30P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.6057255268096924,4.103921413421631,2.555805051763644,0.5287037037037038,0.5416666666666666,0.9794300752172461,24,4
libemg_contraction_intensity,validation,8,40P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.5083084106445312,4.110239028930664,2.725065377644992,0.5845238095238096,0.625,0.9830369813169443,24,4
libemg_contraction_intensity,validation,8,50P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.4582645893096924,4.95374870300293,3.397016384391679,0.5896464646464646,0.6666666666666666,0.844304193543655,24,4
libemg_contraction_intensity,validation,8,60P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.425251841545105,5.232676029205322,3.6714045029161135,0.7032227032227031,0.75,0.8470743569124664,24,4
libemg_contraction_intensity,validation,8,70P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.4610751867294312,5.123364448547363,3.5065713898442072,0.725,0.75,0.850689890111599,24,4
libemg_contraction_intensity,validation,8,80P,F2b_CSP,14,"[1, 2, 3, 4, 5, 6]",0,1.738599419593811,5.889636039733887,3.3875750635940767,0.7354497354497355,0.7916666666666666,0.8514221868673735,24,4
